Date Time, Prediction, Type
2021-10-01 06:13,0.207,L
2021-10-01 14:57,2.226,H
2021-10-01 20:56,1.659,L
2021-10-01 23:17,1.720,H
2021-10-02 07:11,0.183,L
2021-10-02 15:23,2.222,H
2021-10-02 21:04,1.524,L
2021-10-03 00:47,1.745,H
2021-10-03 08:00,0.183,L
2021-10-03 15:44,2.211,H
2021-10-03 21:17,1.321,L
2021-10-04 02:05,1.807,H
2021-10-04 08:44,0.241,L
2021-10-04 16:03,2.202,H
2021-10-04 21:40,1.049,L
2021-10-05 03:15,1.887,H
2021-10-05 09:26,0.380,L
2021-10-05 16:21,2.203,H
2021-10-05 22:11,0.727,L
2021-10-06 04:22,1.976,H
2021-10-06 10:07,0.602,L
2021-10-06 16:39,2.217,H
2021-10-06 22:47,0.386,L
2021-10-07 05:29,2.071,H
2021-10-07 10:50,0.889,L
2021-10-07 16:59,2.240,H
2021-10-07 23:28,0.065,L
2021-10-08 06:36,2.162,H
2021-10-08 11:35,1.209,L
2021-10-08 17:20,2.264,H
2021-10-09 00:11,-0.193,L
2021-10-09 07:44,2.238,H
2021-10-09 12:24,1.523,L
2021-10-09 17:43,2.274,H
2021-10-10 00:58,-0.355,L
2021-10-10 08:59,2.297,H
2021-10-10 13:19,1.793,L
2021-10-10 18:10,2.255,H
2021-10-11 01:49,-0.407,L
2021-10-11 10:19,2.350,H
2021-10-11 14:33,1.982,L
2021-10-11 18:38,2.193,H
2021-10-12 02:45,-0.358,L
2021-10-12 11:38,2.398,H
2021-10-12 16:43,2.036,L
2021-10-12 19:10,2.080,H
2021-10-13 03:48,-0.239,L
2021-10-13 12:48,2.432,H
2021-10-14 04:55,-0.085,L
2021-10-14 13:42,2.440,H
2021-10-14 19:58,1.705,L
2021-10-14 22:00,1.741,H
2021-10-15 06:04,0.079,L
2021-10-15 14:24,2.420,H
2021-10-15 20:32,1.462,L
2021-10-16 00:11,1.653,H
2021-10-16 07:09,0.246,L
2021-10-16 14:58,2.377,H
2021-10-16 21:03,1.199,L
2021-10-17 01:56,1.678,H
2021-10-17 08:05,0.430,L
2021-10-17 15:26,2.319,H
2021-10-17 21:32,0.932,L
2021-10-18 03:13,1.758,H
2021-10-18 08:52,0.643,L
2021-10-18 15:47,2.255,H
2021-10-18 22:00,0.674,L
2021-10-19 04:18,1.858,H
2021-10-19 09:34,0.881,L
2021-10-19 16:03,2.194,H
2021-10-19 22:26,0.436,L
2021-10-20 05:16,1.968,H
2021-10-20 10:14,1.132,L
2021-10-20 16:14,2.145,H
2021-10-20 22:52,0.230,L
2021-10-21 06:09,2.080,H
2021-10-21 10:55,1.375,L
2021-10-21 16:22,2.111,H
2021-10-21 23:19,0.066,L
2021-10-22 06:58,2.183,H
2021-10-22 11:39,1.592,L
2021-10-22 16:33,2.084,H
2021-10-22 23:48,-0.045,L
2021-10-23 07:47,2.263,H
2021-10-23 12:27,1.771,L
2021-10-23 16:47,2.053,H
2021-10-24 00:19,-0.099,L
2021-10-24 08:38,2.315,H
2021-10-24 13:27,1.902,L
2021-10-24 17:01,2.013,H
2021-10-25 00:54,-0.097,L
2021-10-25 09:34,2.339,H
2021-10-26 01:34,-0.047,L
2021-10-26 10:34,2.343,H
2021-10-27 02:19,0.035,L
2021-10-27 11:33,2.338,H
2021-10-28 03:12,0.129,L
2021-10-28 12:27,2.332,H
2021-10-29 04:11,0.225,L
2021-10-29 13:09,2.324,H
2021-10-30 05:11,0.323,L
2021-10-30 13:41,2.312,H
2021-10-30 20:30,1.418,L
2021-10-30 23:11,1.505,H
2021-10-31 06:11,0.438,L
2021-10-31 14:04,2.301,H
2021-10-31 20:33,1.174,L
