Date Time, Prediction, Type
2021-10-01 06:01,0.177,L
2021-10-01 14:33,2.248,H
2021-10-01 20:37,1.665,L
2021-10-01 22:47,1.713,H
2021-10-02 06:57,0.161,L
2021-10-02 15:03,2.279,H
2021-10-02 20:49,1.504,L
2021-10-03 00:26,1.733,H
2021-10-03 07:47,0.177,L
2021-10-03 15:27,2.289,H
2021-10-03 21:09,1.283,L
2021-10-04 01:47,1.803,H
2021-10-04 08:33,0.252,L
2021-10-04 15:47,2.282,H
2021-10-04 21:35,1.005,L
2021-10-05 03:01,1.901,H
2021-10-05 09:17,0.399,L
2021-10-05 16:04,2.267,H
2021-10-05 22:07,0.687,L
2021-10-06 04:10,2.013,H
2021-10-06 10:01,0.619,L
2021-10-06 16:19,2.256,H
2021-10-06 22:42,0.358,L
2021-10-07 05:15,2.121,H
2021-10-07 10:45,0.897,L
2021-10-07 16:36,2.253,H
2021-10-07 23:21,0.053,L
2021-10-08 06:21,2.207,H
2021-10-08 11:31,1.209,L
2021-10-08 16:57,2.258,H
2021-10-09 00:04,-0.192,L
2021-10-09 07:33,2.268,H
2021-10-09 12:20,1.518,L
2021-10-09 17:20,2.259,H
2021-10-10 00:51,-0.351,L
2021-10-10 08:51,2.315,H
2021-10-10 13:15,1.786,L
2021-10-10 17:45,2.243,H
2021-10-11 01:42,-0.412,L
2021-10-11 10:12,2.363,H
2021-10-11 14:24,1.977,L
2021-10-11 18:12,2.193,H
2021-10-12 02:39,-0.380,L
2021-10-12 11:29,2.415,H
2021-10-12 16:10,2.052,L
2021-10-12 18:40,2.094,H
2021-10-13 03:40,-0.275,L
2021-10-13 12:32,2.454,H
2021-10-14 04:46,-0.124,L
2021-10-14 13:21,2.465,H
2021-10-15 05:55,0.044,L
2021-10-15 14:01,2.447,H
2021-10-15 20:18,1.480,L
2021-10-15 23:51,1.653,H
2021-10-16 06:58,0.222,L
2021-10-16 14:35,2.410,H
2021-10-16 20:49,1.205,L
2021-10-17 01:38,1.693,H
2021-10-17 07:52,0.417,L
2021-10-17 15:03,2.362,H
2021-10-17 21:20,0.927,L
2021-10-18 02:55,1.780,H
2021-10-18 08:39,0.632,L
2021-10-18 15:27,2.306,H
2021-10-18 21:49,0.665,L
2021-10-19 03:59,1.884,H
2021-10-19 09:22,0.856,L
2021-10-19 15:46,2.247,H
2021-10-19 22:17,0.435,L
2021-10-20 04:56,1.986,H
2021-10-20 10:02,1.081,L
2021-10-20 15:59,2.189,H
2021-10-20 22:44,0.246,L
2021-10-21 05:48,2.074,H
2021-10-21 10:41,1.297,L
2021-10-21 16:08,2.139,H
2021-10-21 23:12,0.104,L
2021-10-22 06:38,2.145,H
2021-10-22 11:19,1.496,L
2021-10-22 16:19,2.099,H
2021-10-22 23:41,0.010,L
2021-10-23 07:31,2.195,H
2021-10-23 12:01,1.673,L
2021-10-23 16:33,2.064,H
2021-10-24 00:13,-0.036,L
2021-10-24 08:28,2.229,H
2021-10-24 12:49,1.822,L
2021-10-24 16:48,2.032,H
2021-10-25 00:49,-0.038,L
2021-10-25 09:29,2.256,H
2021-10-25 13:51,1.933,L
2021-10-25 16:54,2.002,H
2021-10-26 01:29,-0.006,L
2021-10-26 10:33,2.286,H
2021-10-27 02:13,0.052,L
2021-10-27 11:33,2.324,H
2021-10-28 03:02,0.127,L
2021-10-28 12:20,2.361,H
2021-10-29 03:56,0.217,L
2021-10-29 12:57,2.385,H
2021-10-30 04:54,0.323,L
2021-10-30 13:25,2.392,H
2021-10-30 20:16,1.428,L
2021-10-30 22:39,1.492,H
2021-10-31 05:55,0.449,L
2021-10-31 13:47,2.386,H
2021-10-31 20:18,1.164,L
