Date Time, Prediction, Type
2021-10-01 05:48,0.243,L
2021-10-01 14:50,2.261,H
2021-10-01 20:46,1.641,L
2021-10-01 23:21,1.744,H
2021-10-02 06:47,0.223,L
2021-10-02 15:14,2.251,H
2021-10-02 20:56,1.518,L
2021-10-03 00:39,1.796,H
2021-10-03 07:37,0.219,L
2021-10-03 15:33,2.239,H
2021-10-03 21:04,1.322,L
2021-10-04 01:50,1.872,H
2021-10-04 08:22,0.270,L
2021-10-04 15:48,2.236,H
2021-10-04 21:20,1.044,L
2021-10-05 02:56,1.955,H
2021-10-05 09:03,0.397,L
2021-10-05 16:02,2.252,H
2021-10-05 21:48,0.708,L
2021-10-06 04:02,2.036,H
2021-10-06 09:44,0.609,L
2021-10-06 16:17,2.285,H
2021-10-06 22:23,0.349,L
2021-10-07 05:08,2.113,H
2021-10-07 10:25,0.892,L
2021-10-07 16:34,2.326,H
2021-10-07 23:03,0.012,L
2021-10-08 06:16,2.183,H
2021-10-08 11:08,1.216,L
2021-10-08 16:56,2.359,H
2021-10-08 23:46,-0.258,L
2021-10-09 07:28,2.246,H
2021-10-09 11:55,1.541,L
2021-10-09 17:20,2.366,H
2021-10-10 00:33,-0.428,L
2021-10-10 08:45,2.304,H
2021-10-10 12:49,1.826,L
2021-10-10 17:48,2.332,H
2021-10-11 01:24,-0.479,L
2021-10-11 10:08,2.364,H
2021-10-11 14:00,2.029,L
2021-10-11 18:19,2.249,H
2021-10-12 02:19,-0.420,L
2021-10-12 11:28,2.425,H
2021-10-12 16:48,2.083,L
2021-10-12 18:57,2.115,H
2021-10-13 03:20,-0.278,L
2021-10-13 12:35,2.469,H
2021-10-14 04:28,-0.094,L
2021-10-14 13:28,2.482,H
2021-10-14 19:33,1.706,L
2021-10-14 21:50,1.771,H
2021-10-15 05:40,0.091,L
2021-10-15 14:10,2.463,H
2021-10-15 20:08,1.458,L
2021-10-15 23:58,1.700,H
2021-10-16 06:48,0.269,L
2021-10-16 14:45,2.421,H
2021-10-16 20:40,1.195,L
2021-10-17 01:43,1.744,H
2021-10-17 07:46,0.456,L
2021-10-17 15:13,2.367,H
2021-10-17 21:09,0.932,L
2021-10-18 03:00,1.837,H
2021-10-18 08:35,0.667,L
2021-10-18 15:35,2.310,H
2021-10-18 21:36,0.679,L
2021-10-19 04:04,1.940,H
2021-10-19 09:17,0.903,L
2021-10-19 15:49,2.261,H
2021-10-19 22:02,0.444,L
2021-10-20 05:01,2.041,H
2021-10-20 09:56,1.154,L
2021-10-20 15:56,2.229,H
2021-10-20 22:27,0.237,L
2021-10-21 05:53,2.137,H
2021-10-21 10:34,1.403,L
2021-10-21 16:03,2.212,H
2021-10-21 22:53,0.070,L
2021-10-22 06:44,2.223,H
2021-10-22 11:15,1.633,L
2021-10-22 16:16,2.190,H
2021-10-22 23:22,-0.047,L
2021-10-23 07:35,2.294,H
2021-10-23 12:01,1.828,L
2021-10-23 16:34,2.148,H
2021-10-23 23:55,-0.105,L
2021-10-24 08:29,2.344,H
2021-10-24 13:06,1.976,L
2021-10-24 16:52,2.085,H
2021-10-25 00:31,-0.102,L
2021-10-25 09:28,2.371,H
2021-10-26 01:11,-0.048,L
2021-10-26 10:32,2.384,H
2021-10-27 01:57,0.043,L
2021-10-27 11:34,2.390,H
2021-10-28 02:48,0.151,L
2021-10-28 12:26,2.389,H
2021-10-29 03:47,0.263,L
2021-10-29 13:05,2.380,H
2021-10-30 04:49,0.371,L
2021-10-30 13:33,2.363,H
2021-10-30 20:18,1.423,L
2021-10-30 23:10,1.550,H
2021-10-31 05:51,0.485,L
2021-10-31 13:54,2.349,H
2021-10-31 20:22,1.191,L
