Date Time, Prediction, Type
2021-10-01 05:25,0.173,L
2021-10-01 14:12,2.034,H
2021-10-01 20:41,1.607,L
2021-10-01 22:38,1.650,H
2021-10-02 06:18,0.138,L
2021-10-02 14:30,2.028,H
2021-10-02 20:12,1.508,L
2021-10-02 23:52,1.701,H
2021-10-03 07:06,0.130,L
2021-10-03 14:41,2.028,H
2021-10-03 20:05,1.305,L
2021-10-04 00:56,1.767,H
2021-10-04 07:48,0.179,L
2021-10-04 14:49,2.049,H
2021-10-04 20:30,1.027,L
2021-10-05 01:59,1.833,H
2021-10-05 08:28,0.306,L
2021-10-05 15:04,2.090,H
2021-10-05 21:05,0.702,L
2021-10-06 03:01,1.892,H
2021-10-06 09:07,0.514,L
2021-10-06 15:25,2.139,H
2021-10-06 21:44,0.361,L
2021-10-07 04:05,1.943,H
2021-10-07 09:47,0.789,L
2021-10-07 15:48,2.184,H
2021-10-07 22:27,0.045,L
2021-10-08 05:13,1.987,H
2021-10-08 10:28,1.101,L
2021-10-08 16:14,2.213,H
2021-10-08 23:12,-0.209,L
2021-10-09 06:25,2.024,H
2021-10-09 11:13,1.411,L
2021-10-09 16:42,2.216,H
2021-10-10 00:01,-0.372,L
2021-10-10 07:49,2.058,H
2021-10-10 12:03,1.681,L
2021-10-10 17:10,2.186,H
2021-10-11 00:54,-0.431,L
2021-10-11 09:27,2.104,H
2021-10-11 13:05,1.878,L
2021-10-11 17:37,2.117,H
2021-10-12 01:52,-0.396,L
2021-10-12 10:58,2.164,H
2021-10-12 14:37,1.973,L
2021-10-12 17:51,2.007,H
2021-10-13 02:53,-0.290,L
2021-10-13 12:06,2.208,H
2021-10-14 03:59,-0.145,L
2021-10-14 12:56,2.220,H
2021-10-14 19:24,1.662,L
2021-10-14 21:09,1.695,H
2021-10-15 05:07,0.013,L
2021-10-15 13:35,2.205,H
2021-10-15 19:50,1.442,L
2021-10-15 22:55,1.611,H
2021-10-16 06:10,0.179,L
2021-10-16 14:06,2.173,H
2021-10-16 20:16,1.202,L
2021-10-17 00:36,1.608,H
2021-10-17 07:05,0.364,L
2021-10-17 14:29,2.136,H
2021-10-17 20:41,0.953,L
2021-10-18 02:01,1.658,H
2021-10-18 07:52,0.575,L
2021-10-18 14:43,2.107,H
2021-10-18 21:03,0.706,L
2021-10-19 03:10,1.730,H
2021-10-19 08:33,0.810,L
2021-10-19 14:51,2.094,H
2021-10-19 21:27,0.473,L
2021-10-20 04:10,1.811,H
2021-10-20 09:10,1.056,L
2021-10-20 15:02,2.093,H
2021-10-20 21:53,0.268,L
2021-10-21 05:05,1.895,H
2021-10-21 09:46,1.297,L
2021-10-21 15:18,2.085,H
2021-10-21 22:22,0.105,L
2021-10-22 05:58,1.977,H
2021-10-22 10:23,1.517,L
2021-10-22 15:38,2.058,H
2021-10-22 22:53,-0.003,L
2021-10-23 06:50,2.047,H
2021-10-23 11:04,1.702,L
2021-10-23 15:57,2.009,H
2021-10-23 23:28,-0.053,L
2021-10-24 07:46,2.099,H
2021-10-24 11:51,1.844,L
2021-10-24 15:59,1.951,H
2021-10-25 00:07,-0.050,L
2021-10-25 08:49,2.131,H
2021-10-26 00:51,-0.005,L
2021-10-26 09:59,2.150,H
2021-10-27 01:39,0.063,L
2021-10-27 11:03,2.163,H
2021-10-28 02:32,0.138,L
2021-10-28 11:53,2.168,H
2021-10-29 03:29,0.212,L
2021-10-29 12:27,2.164,H
2021-10-30 04:26,0.289,L
2021-10-30 12:48,2.156,H
2021-10-30 20:14,1.409,L
2021-10-30 22:19,1.459,H
2021-10-31 05:21,0.386,L
2021-10-31 13:01,2.157,H
2021-10-31 19:42,1.202,L
2021-10-31 23:51,1.502,H
