Date Time, Prediction, Type
2021-10-01 05:29,0.124,L
2021-10-01 14:15,1.770,H
2021-10-02 06:25,0.115,L
2021-10-02 14:42,1.787,H
2021-10-02 20:05,1.253,L
2021-10-02 23:53,1.421,H
2021-10-03 07:14,0.133,L
2021-10-03 15:03,1.787,H
2021-10-03 20:22,1.063,L
2021-10-04 01:12,1.467,H
2021-10-04 07:59,0.199,L
2021-10-04 15:17,1.781,H
2021-10-04 20:53,0.827,L
2021-10-05 02:22,1.528,H
2021-10-05 08:42,0.325,L
2021-10-05 15:28,1.779,H
2021-10-05 21:28,0.560,L
2021-10-06 03:32,1.594,H
2021-10-06 09:25,0.509,L
2021-10-06 15:42,1.790,H
2021-10-06 22:07,0.285,L
2021-10-07 04:42,1.659,H
2021-10-07 10:08,0.740,L
2021-10-07 16:00,1.812,H
2021-10-07 22:48,0.031,L
2021-10-08 05:52,1.712,H
2021-10-08 10:52,0.992,L
2021-10-08 16:22,1.839,H
2021-10-08 23:32,-0.172,L
2021-10-09 07:08,1.749,H
2021-10-09 11:37,1.240,L
2021-10-09 16:47,1.860,H
2021-10-10 00:19,-0.300,L
2021-10-10 08:33,1.786,H
2021-10-10 12:26,1.456,L
2021-10-10 17:13,1.861,H
2021-10-11 01:12,-0.347,L
2021-10-11 09:58,1.833,H
2021-10-11 13:25,1.613,L
2021-10-11 17:40,1.829,H
2021-10-12 02:09,-0.320,L
2021-10-12 11:14,1.883,H
2021-10-12 14:44,1.687,L
2021-10-12 18:03,1.752,H
2021-10-13 03:10,-0.237,L
2021-10-13 12:15,1.920,H
2021-10-14 04:14,-0.117,L
2021-10-14 13:01,1.933,H
2021-10-15 05:20,0.023,L
2021-10-15 13:38,1.924,H
2021-10-15 19:52,1.237,L
2021-10-15 23:03,1.367,H
2021-10-16 06:22,0.173,L
2021-10-16 14:09,1.901,H
2021-10-16 20:20,1.008,L
2021-10-17 01:01,1.374,H
2021-10-17 07:15,0.335,L
2021-10-17 14:36,1.869,H
2021-10-17 20:48,0.776,L
2021-10-18 02:21,1.428,H
2021-10-18 08:00,0.512,L
2021-10-18 14:57,1.832,H
2021-10-18 21:16,0.558,L
2021-10-19 03:29,1.494,H
2021-10-19 08:41,0.697,L
2021-10-19 15:11,1.795,H
2021-10-19 21:42,0.365,L
2021-10-20 04:29,1.563,H
2021-10-20 09:19,0.882,L
2021-10-20 15:20,1.764,H
2021-10-20 22:09,0.204,L
2021-10-21 05:24,1.627,H
2021-10-21 09:56,1.058,L
2021-10-21 15:31,1.739,H
2021-10-21 22:38,0.081,L
2021-10-22 06:17,1.679,H
2021-10-22 10:35,1.221,L
2021-10-22 15:45,1.717,H
2021-10-22 23:09,-0.001,L
2021-10-23 07:13,1.717,H
2021-10-23 11:14,1.366,L
2021-10-23 16:01,1.695,H
2021-10-23 23:42,-0.041,L
2021-10-24 08:14,1.747,H
2021-10-24 11:57,1.489,L
2021-10-24 16:12,1.675,H
2021-10-25 00:19,-0.043,L
2021-10-25 09:20,1.775,H
2021-10-25 12:48,1.586,L
2021-10-25 15:57,1.663,H
2021-10-26 01:01,-0.015,L
2021-10-26 10:25,1.808,H
2021-10-27 01:47,0.032,L
2021-10-27 11:23,1.844,H
2021-10-28 02:38,0.091,L
2021-10-28 12:09,1.874,H
2021-10-29 03:31,0.159,L
2021-10-29 12:43,1.891,H
2021-10-30 04:27,0.242,L
2021-10-30 13:08,1.892,H
2021-10-30 20:06,1.199,L
2021-10-30 22:05,1.231,H
2021-10-31 05:23,0.349,L
2021-10-31 13:24,1.885,H
2021-10-31 19:44,0.985,L
