Date Time, Prediction, Type
2021-11-01 00:18,1.582,H
2021-11-01 06:22,0.505,L
2021-11-01 13:26,2.287,H
2021-11-01 19:39,0.756,L
2021-11-02 01:35,1.738,H
2021-11-02 07:11,0.666,L
2021-11-02 13:49,2.318,H
2021-11-02 20:07,0.386,L
2021-11-03 02:41,1.928,H
2021-11-03 07:57,0.874,L
2021-11-03 14:13,2.356,H
2021-11-03 20:41,0.006,L
2021-11-04 03:43,2.120,H
2021-11-04 08:43,1.116,L
2021-11-04 14:39,2.389,H
2021-11-04 21:19,-0.334,L
2021-11-05 04:42,2.289,H
2021-11-05 09:30,1.367,L
2021-11-05 15:07,2.406,H
2021-11-05 22:00,-0.590,L
2021-11-06 05:40,2.414,H
2021-11-06 10:19,1.597,L
2021-11-06 15:38,2.391,H
2021-11-06 22:44,-0.728,L
2021-11-07 06:40,2.487,H
2021-11-07 11:14,1.782,L
2021-11-07 16:12,2.331,H
2021-11-07 23:32,-0.737,L
2021-11-08 07:43,2.511,H
2021-11-08 12:17,1.898,L
2021-11-08 16:51,2.219,H
2021-11-09 00:23,-0.629,L
2021-11-09 08:47,2.503,H
2021-11-09 13:42,1.922,L
2021-11-09 17:39,2.053,H
2021-11-10 01:19,-0.429,L
2021-11-10 09:52,2.482,H
2021-11-10 16:28,1.801,L
2021-11-10 18:46,1.846,H
2021-11-11 02:20,-0.172,L
2021-11-11 10:52,2.460,H
2021-11-11 17:51,1.554,L
2021-11-11 20:16,1.637,H
2021-11-12 03:25,0.104,L
2021-11-12 11:42,2.438,H
2021-11-12 18:38,1.272,L
2021-11-12 22:06,1.498,H
2021-11-13 04:32,0.375,L
2021-11-13 12:23,2.411,H
2021-11-13 19:15,0.982,L
2021-11-14 00:06,1.508,H
2021-11-14 05:36,0.637,L
2021-11-14 12:57,2.375,H
2021-11-14 19:44,0.702,L
2021-11-15 01:38,1.647,H
2021-11-15 06:32,0.891,L
2021-11-15 13:23,2.333,H
2021-11-15 20:08,0.445,L
2021-11-16 02:47,1.829,H
2021-11-16 07:23,1.134,L
2021-11-16 13:42,2.289,H
2021-11-16 20:30,0.216,L
2021-11-17 03:43,2.007,H
2021-11-17 08:09,1.361,L
2021-11-17 13:58,2.253,H
2021-11-17 20:53,0.020,L
2021-11-18 04:32,2.163,H
2021-11-18 08:54,1.559,L
2021-11-18 14:14,2.222,H
2021-11-18 21:18,-0.136,L
2021-11-19 05:16,2.287,H
2021-11-19 09:38,1.721,L
2021-11-19 14:32,2.189,H
2021-11-19 21:46,-0.245,L
2021-11-20 05:58,2.375,H
2021-11-20 10:25,1.841,L
2021-11-20 14:52,2.146,H
2021-11-20 22:17,-0.303,L
2021-11-21 06:38,2.427,H
2021-11-21 11:16,1.920,L
2021-11-21 15:12,2.088,H
2021-11-21 22:51,-0.310,L
2021-11-22 07:19,2.447,H
2021-11-22 12:15,1.961,L
2021-11-22 15:23,2.017,H
2021-11-22 23:28,-0.272,L
2021-11-23 08:01,2.443,H
2021-11-24 00:09,-0.197,L
2021-11-24 08:46,2.425,H
2021-11-25 00:54,-0.091,L
2021-11-25 09:31,2.405,H
2021-11-26 01:43,0.048,L
2021-11-26 10:12,2.387,H
2021-11-27 02:36,0.218,L
2021-11-27 10:48,2.377,H
2021-11-27 18:37,1.356,L
2021-11-27 20:48,1.405,H
2021-11-28 03:33,0.423,L
2021-11-28 11:19,2.375,H
2021-11-28 18:23,1.089,L
2021-11-28 22:40,1.383,H
2021-11-29 04:32,0.659,L
2021-11-29 11:47,2.386,H
2021-11-29 18:37,0.741,L
2021-11-30 00:28,1.508,H
2021-11-30 05:31,0.917,L
2021-11-30 12:14,2.409,H
2021-11-30 19:05,0.341,L
