Date Time, Prediction, Type
2021-10-01 05:24,0.208,L
2021-10-01 13:57,2.182,H
2021-10-01 19:54,1.520,L
2021-10-01 23:03,1.658,H
2021-10-02 06:20,0.172,L
2021-10-02 14:21,2.192,H
2021-10-02 19:56,1.379,L
2021-10-03 00:18,1.723,H
2021-10-03 07:08,0.156,L
2021-10-03 14:40,2.200,H
2021-10-03 20:11,1.172,L
2021-10-04 01:25,1.819,H
2021-10-04 07:52,0.192,L
2021-10-04 15:00,2.216,H
2021-10-04 20:37,0.902,L
2021-10-05 02:25,1.925,H
2021-10-05 08:32,0.300,L
2021-10-05 15:21,2.240,H
2021-10-05 21:09,0.590,L
2021-10-06 03:24,2.024,H
2021-10-06 09:13,0.484,L
2021-10-06 15:44,2.269,H
2021-10-06 21:45,0.265,L
2021-10-07 04:23,2.109,H
2021-10-07 09:54,0.733,L
2021-10-07 16:10,2.291,H
2021-10-07 22:26,-0.032,L
2021-10-08 05:24,2.173,H
2021-10-08 10:38,1.020,L
2021-10-08 16:37,2.295,H
2021-10-08 23:09,-0.262,L
2021-10-09 06:28,2.211,H
2021-10-09 11:25,1.310,L
2021-10-09 17:08,2.272,H
2021-10-09 23:56,-0.396,L
2021-10-10 07:37,2.229,H
2021-10-10 12:19,1.569,L
2021-10-10 17:41,2.213,H
2021-10-11 00:48,-0.423,L
2021-10-11 08:54,2.238,H
2021-10-11 13:26,1.760,L
2021-10-11 18:19,2.115,H
2021-10-12 01:45,-0.355,L
2021-10-12 10:19,2.261,H
2021-10-12 15:04,1.841,L
2021-10-12 19:08,1.978,H
2021-10-13 02:49,-0.224,L
2021-10-13 11:35,2.300,H
2021-10-13 17:42,1.749,L
2021-10-13 20:21,1.822,H
2021-10-14 03:58,-0.070,L
2021-10-14 12:33,2.333,H
2021-10-14 18:52,1.547,L
2021-10-14 21:57,1.699,H
2021-10-15 05:09,0.077,L
2021-10-15 13:18,2.344,H
2021-10-15 19:32,1.315,L
2021-10-15 23:40,1.668,H
2021-10-16 06:14,0.220,L
2021-10-16 13:55,2.334,H
2021-10-16 20:03,1.072,L
2021-10-17 01:09,1.725,H
2021-10-17 07:08,0.376,L
2021-10-17 14:25,2.305,H
2021-10-17 20:29,0.828,L
2021-10-18 02:18,1.819,H
2021-10-18 07:55,0.559,L
2021-10-18 14:48,2.265,H
2021-10-18 20:54,0.592,L
2021-10-19 03:17,1.915,H
2021-10-19 08:36,0.766,L
2021-10-19 15:06,2.224,H
2021-10-19 21:19,0.373,L
2021-10-20 04:09,2.004,H
2021-10-20 09:15,0.988,L
2021-10-20 15:22,2.187,H
2021-10-20 21:46,0.181,L
2021-10-21 04:58,2.085,H
2021-10-21 09:54,1.210,L
2021-10-21 15:38,2.153,H
2021-10-21 22:15,0.030,L
2021-10-22 05:46,2.155,H
2021-10-22 10:36,1.418,L
2021-10-22 15:57,2.113,H
2021-10-22 22:47,-0.071,L
2021-10-23 06:34,2.209,H
2021-10-23 11:21,1.599,L
2021-10-23 16:17,2.058,H
2021-10-23 23:21,-0.116,L
2021-10-24 07:24,2.240,H
2021-10-24 12:15,1.742,L
2021-10-24 16:38,1.987,H
2021-10-24 23:58,-0.105,L
2021-10-25 08:19,2.250,H
2021-10-25 13:26,1.836,L
2021-10-25 16:53,1.903,H
2021-10-26 00:40,-0.048,L
2021-10-26 09:22,2.247,H
2021-10-27 01:28,0.040,L
2021-10-27 10:30,2.244,H
2021-10-28 02:23,0.137,L
2021-10-28 11:28,2.249,H
2021-10-29 03:25,0.229,L
2021-10-29 12:10,2.255,H
2021-10-30 04:29,0.308,L
2021-10-30 12:40,2.260,H
2021-10-30 19:21,1.318,L
2021-10-30 22:48,1.497,H
2021-10-31 05:28,0.392,L
2021-10-31 13:04,2.269,H
2021-10-31 19:21,1.076,L
