Date Time, Prediction, Type
2021-11-01 01:10,1.762,H
2021-11-01 06:48,0.528,L
2021-11-01 14:18,2.547,H
2021-11-01 20:05,0.790,L
2021-11-02 02:27,1.936,H
2021-11-02 07:37,0.696,L
2021-11-02 14:41,2.581,H
2021-11-02 20:33,0.404,L
2021-11-03 03:33,2.147,H
2021-11-03 08:23,0.914,L
2021-11-03 15:05,2.623,H
2021-11-03 21:07,0.006,L
2021-11-04 04:35,2.361,H
2021-11-04 09:09,1.167,L
2021-11-04 15:31,2.661,H
2021-11-04 21:45,-0.349,L
2021-11-05 05:34,2.549,H
2021-11-05 09:56,1.429,L
2021-11-05 15:59,2.679,H
2021-11-05 22:26,-0.616,L
2021-11-06 06:32,2.688,H
2021-11-06 10:45,1.670,L
2021-11-06 16:30,2.663,H
2021-11-06 23:10,-0.761,L
2021-11-07 07:32,2.769,H
2021-11-07 11:40,1.863,L
2021-11-07 17:04,2.596,H
2021-11-07 23:58,-0.771,L
2021-11-08 08:35,2.796,H
2021-11-08 12:43,1.984,L
2021-11-08 17:43,2.472,H
2021-11-09 00:49,-0.658,L
2021-11-09 09:39,2.787,H
2021-11-09 14:08,2.009,L
2021-11-09 18:31,2.286,H
2021-11-10 01:45,-0.448,L
2021-11-10 10:44,2.764,H
2021-11-10 16:54,1.883,L
2021-11-10 19:38,2.056,H
2021-11-11 02:46,-0.180,L
2021-11-11 11:44,2.739,H
2021-11-11 18:17,1.625,L
2021-11-11 21:08,1.823,H
2021-11-12 03:51,0.109,L
2021-11-12 12:34,2.715,H
2021-11-12 19:04,1.329,L
2021-11-12 22:58,1.668,H
2021-11-13 04:58,0.392,L
2021-11-13 13:15,2.685,H
2021-11-13 19:41,1.027,L
2021-11-14 00:58,1.680,H
2021-11-14 06:02,0.666,L
2021-11-14 13:49,2.645,H
2021-11-14 20:10,0.734,L
2021-11-15 02:30,1.835,H
2021-11-15 06:58,0.931,L
2021-11-15 14:15,2.598,H
2021-11-15 20:34,0.466,L
2021-11-16 03:39,2.036,H
2021-11-16 07:49,1.186,L
2021-11-16 14:34,2.549,H
2021-11-16 20:56,0.226,L
2021-11-17 04:35,2.235,H
2021-11-17 08:35,1.423,L
2021-11-17 14:50,2.509,H
2021-11-17 21:19,0.021,L
2021-11-18 05:24,2.409,H
2021-11-18 09:20,1.630,L
2021-11-18 15:06,2.475,H
2021-11-18 21:44,-0.142,L
2021-11-19 06:08,2.547,H
2021-11-19 10:04,1.800,L
2021-11-19 15:24,2.438,H
2021-11-19 22:12,-0.256,L
2021-11-20 06:50,2.645,H
2021-11-20 10:51,1.925,L
2021-11-20 15:44,2.390,H
2021-11-20 22:43,-0.316,L
2021-11-21 07:30,2.703,H
2021-11-21 11:42,2.007,L
2021-11-21 16:04,2.326,H
2021-11-21 23:17,-0.324,L
2021-11-22 08:11,2.725,H
2021-11-22 12:41,2.050,L
2021-11-22 16:15,2.246,H
2021-11-22 23:54,-0.284,L
2021-11-23 08:53,2.720,H
2021-11-24 00:35,-0.206,L
2021-11-24 09:38,2.701,H
2021-11-25 01:20,-0.095,L
2021-11-25 10:23,2.678,H
2021-11-26 02:09,0.050,L
2021-11-26 11:04,2.659,H
2021-11-27 03:02,0.228,L
2021-11-27 11:40,2.647,H
2021-11-27 19:03,1.418,L
2021-11-27 21:40,1.565,H
2021-11-28 03:59,0.443,L
2021-11-28 12:11,2.645,H
2021-11-28 18:49,1.139,L
2021-11-28 23:32,1.541,H
2021-11-29 04:58,0.689,L
2021-11-29 12:39,2.657,H
2021-11-29 19:03,0.775,L
2021-11-30 01:20,1.680,H
2021-11-30 05:57,0.959,L
2021-11-30 13:06,2.683,H
2021-11-30 19:31,0.356,L
