Date Time, Prediction, Type
2021-10-01 05:50,0.217,L
2021-10-01 14:49,2.429,H
2021-10-01 20:20,1.589,L
2021-10-01 23:55,1.846,H
2021-10-02 06:46,0.179,L
2021-10-02 15:13,2.441,H
2021-10-02 20:22,1.442,L
2021-10-03 01:10,1.919,H
2021-10-03 07:34,0.163,L
2021-10-03 15:32,2.450,H
2021-10-03 20:37,1.225,L
2021-10-04 02:17,2.026,H
2021-10-04 08:18,0.201,L
2021-10-04 15:52,2.468,H
2021-10-04 21:03,0.943,L
2021-10-05 03:17,2.143,H
2021-10-05 08:58,0.314,L
2021-10-05 16:13,2.495,H
2021-10-05 21:35,0.616,L
2021-10-06 04:16,2.254,H
2021-10-06 09:39,0.506,L
2021-10-06 16:36,2.526,H
2021-10-06 22:11,0.277,L
2021-10-07 05:15,2.349,H
2021-10-07 10:20,0.766,L
2021-10-07 17:02,2.551,H
2021-10-07 22:52,-0.033,L
2021-10-08 06:16,2.420,H
2021-10-08 11:04,1.066,L
2021-10-08 17:29,2.556,H
2021-10-08 23:35,-0.274,L
2021-10-09 07:20,2.463,H
2021-10-09 11:51,1.370,L
2021-10-09 18:00,2.530,H
2021-10-10 00:22,-0.414,L
2021-10-10 08:29,2.482,H
2021-10-10 12:45,1.640,L
2021-10-10 18:33,2.465,H
2021-10-11 01:14,-0.443,L
2021-10-11 09:46,2.492,H
2021-10-11 13:52,1.840,L
2021-10-11 19:11,2.355,H
2021-10-12 02:11,-0.371,L
2021-10-12 11:11,2.518,H
2021-10-12 15:30,1.925,L
2021-10-12 20:00,2.203,H
2021-10-13 03:15,-0.234,L
2021-10-13 12:27,2.562,H
2021-10-13 18:08,1.828,L
2021-10-13 21:13,2.030,H
2021-10-14 04:24,-0.073,L
2021-10-14 13:25,2.598,H
2021-10-14 19:18,1.617,L
2021-10-14 22:49,1.892,H
2021-10-15 05:35,0.081,L
2021-10-15 14:10,2.611,H
2021-10-15 19:58,1.374,L
2021-10-16 00:32,1.857,H
2021-10-16 06:40,0.230,L
2021-10-16 14:47,2.599,H
2021-10-16 20:29,1.121,L
2021-10-17 02:01,1.921,H
2021-10-17 07:34,0.393,L
2021-10-17 15:17,2.567,H
2021-10-17 20:55,0.866,L
2021-10-18 03:10,2.026,H
2021-10-18 08:21,0.584,L
2021-10-18 15:40,2.523,H
2021-10-18 21:20,0.619,L
2021-10-19 04:09,2.132,H
2021-10-19 09:02,0.800,L
2021-10-19 15:58,2.476,H
2021-10-19 21:45,0.390,L
2021-10-20 05:01,2.231,H
2021-10-20 09:41,1.033,L
2021-10-20 16:14,2.435,H
2021-10-20 22:12,0.190,L
2021-10-21 05:50,2.322,H
2021-10-21 10:20,1.265,L
2021-10-21 16:30,2.398,H
2021-10-21 22:41,0.031,L
2021-10-22 06:38,2.400,H
2021-10-22 11:02,1.482,L
2021-10-22 16:49,2.353,H
2021-10-22 23:13,-0.075,L
2021-10-23 07:26,2.460,H
2021-10-23 11:47,1.672,L
2021-10-23 17:09,2.292,H
2021-10-23 23:47,-0.121,L
2021-10-24 08:16,2.495,H
2021-10-24 12:41,1.821,L
2021-10-24 17:30,2.213,H
2021-10-25 00:24,-0.109,L
2021-10-25 09:11,2.506,H
2021-10-25 13:52,1.919,L
2021-10-25 17:45,2.120,H
2021-10-26 01:06,-0.050,L
2021-10-26 10:14,2.502,H
2021-10-27 01:54,0.041,L
2021-10-27 11:22,2.499,H
2021-10-28 02:49,0.144,L
2021-10-28 12:20,2.505,H
2021-10-29 03:51,0.239,L
2021-10-29 13:02,2.511,H
2021-10-29 19:59,1.549,L
2021-10-29 21:57,1.675,H
2021-10-30 04:55,0.322,L
2021-10-30 13:32,2.517,H
2021-10-30 19:47,1.378,L
2021-10-30 23:40,1.667,H
2021-10-31 05:54,0.409,L
2021-10-31 13:56,2.526,H
2021-10-31 19:47,1.125,L
