Year,Month,Day,net_move,Station
2018,10,01,3.406,TWC1165
2018,10,02,5.585000000000001,TWC1165
2018,10,03,5.709,TWC1165
2018,10,04,6.0760000000000005,TWC1165
2018,10,05,5.802,TWC1165
2018,10,06,6.886999999999999,TWC1165
2018,10,07,7.43,TWC1165
2018,10,08,7.831,TWC1165
2018,10,09,7.998,TWC1165
2018,10,10,7.895,TWC1165
2018,10,11,7.538,TWC1165
2018,10,12,4.5649999999999995,TWC1165
2018,10,13,6.455,TWC1165
2018,10,14,5.795,TWC1165
2018,10,15,5.242000000000001,TWC1165
2018,10,16,4.901,TWC1165
2018,10,17,4.696,TWC1165
2018,10,18,4.6579999999999995,TWC1165
2018,10,19,4.29,TWC1165
2018,10,20,4.92,TWC1165
2018,10,21,5.38,TWC1165
2018,10,22,5.918000000000001,TWC1165
2018,10,23,6.463,TWC1165
2018,10,24,6.943,TWC1165
2018,10,25,7.291,TWC1165
2018,10,26,7.453,TWC1165
2018,10,27,4.635,TWC1165
2018,10,28,7.198,TWC1165
2018,10,29,6.875,TWC1165
2018,10,30,6.481,TWC1165
2018,10,31,6.167999999999999,TWC1165
