Year,Month,Day,net_move,Tide_Station
2021,11,01,4.46,9448772
2021,11,02,5.706,9448772
2021,11,03,6.575,9448772
2021,11,04,7.324,9448772
2021,11,05,7.8260000000000005,9448772
2021,11,06,7.981,9448772
2021,11,07,4.432,9448772
2021,11,08,7.425,9448772
2021,11,09,6.923,9448772
2021,11,10,6.459,9448772
2021,11,11,5.819000000000001,9448772
2021,11,12,5.277,9448772
2021,11,13,4.671,9448772
2021,11,14,4.779999999999999,9448772
2021,11,15,5.018,9448772
2021,11,16,5.307,9448772
2021,11,17,5.574,9448772
2021,11,18,5.788,9448772
2021,11,19,5.912999999999999,9448772
2021,11,20,5.922999999999999,9448772
2021,11,21,5.84,9448772
2021,11,22,3.3989999999999996,9448772
2021,11,23,5.343999999999999,9448772
2021,11,24,5.601000000000001,9448772
2021,11,25,5.3149999999999995,9448772
2021,11,26,4.955,9448772
2021,11,27,5.556,9448772
2021,11,28,4.459,9448772
2021,11,29,4.117,9448772
2021,11,30,4.9,9448772
