Year,Month,Day,net_move,Tide_Station
2021,11,01,5.01,TWC1165
2021,11,02,6.448,TWC1165
2021,11,03,7.302,TWC1165
2021,11,04,8.053,TWC1165
2021,11,05,8.562999999999999,TWC1165
2021,11,06,8.739,TWC1165
2021,11,07,8.536000000000001,TWC1165
2021,11,08,4.866999999999999,TWC1165
2021,11,09,7.63,TWC1165
2021,11,10,7,TWC1165
2021,11,11,6.4670000000000005,TWC1165
2021,11,12,6.045,TWC1165
2021,11,13,5.227,TWC1165
2021,11,14,5.557,TWC1165
2021,11,15,5.803999999999999,TWC1165
2021,11,16,6.106,TWC1165
2021,11,17,6.395,TWC1165
2021,11,18,6.629,TWC1165
2021,11,19,6.768000000000001,TWC1165
2021,11,20,6.792,TWC1165
2021,11,21,6.683999999999999,TWC1165
2021,11,22,6.45,TWC1165
2021,11,23,3.004,TWC1165
2021,11,24,5.833,TWC1165
2021,11,25,5.569000000000001,TWC1165
2021,11,26,5.237,TWC1165
2021,11,27,6.225999999999999,TWC1165
2021,11,28,5.231999999999999,TWC1165
2021,11,29,4.702,TWC1165
2021,11,30,5.677,TWC1165
