Date_Time (LST/LDT), Event, Speed (knots)
2019-01-01 00:36, flood,2.0
2019-01-01 04:06, slack,-
2019-01-01 06:06, ebb,-0.8
2019-01-01 09:18, slack,-
2019-01-01 11:48, flood,0.6
2019-01-01 13:30, slack,-
2019-01-01 18:00, ebb,-3.4
2019-01-01 22:06, slack,-
2019-01-02 01:24, flood,2.7
2019-01-02 05:12, slack,-
2019-01-02 07:12, ebb,-0.8
2019-01-02 11:48, slack,-
2019-01-02 12:54, flood,0.1
2019-01-02 13:42, slack,-
2019-01-02 18:42, ebb,-3.6
2019-01-02 22:36, slack,-
2019-01-03 02:06, flood,3.2
2019-01-03 06:00, slack,-
2019-01-03 08:06, ebb,-0.9
2019-01-03 13:42, ebb,-0.1
2019-01-03 19:18, ebb,-3.6
2019-01-03 23:12, slack,-
2019-01-04 02:42, flood,3.4
2019-01-04 06:36, slack,-
2019-01-04 08:42, ebb,-0.9
2019-01-04 14:24, ebb,-0.3
2019-01-04 19:54, ebb,-3.5
2019-01-04 23:48, slack,-
2019-01-05 03:18, flood,3.5
2019-01-05 07:06, slack,-
2019-01-05 09:18, ebb,-1.0
2019-01-05 15:00, ebb,-0.4
2019-01-05 20:30, ebb,-3.3
2019-01-06 00:24, slack,-
2019-01-06 03:54, flood,3.5
2019-01-06 07:36, slack,-
2019-01-06 09:54, ebb,-1.1
2019-01-06 15:24, ebb,-0.4
2019-01-06 21:00, ebb,-3.1
2019-01-07 01:00, slack,-
2019-01-07 04:30, flood,3.4
2019-01-07 08:00, slack,-
2019-01-07 10:30, ebb,-1.2
2019-01-07 15:54, ebb,-0.4
2019-01-07 21:30, ebb,-2.9
2019-01-08 01:36, slack,-
2019-01-08 05:12, flood,3.3
2019-01-08 08:30, slack,-
2019-01-08 11:12, ebb,-1.3
2019-01-08 16:30, ebb,-0.3
2019-01-08 22:00, ebb,-2.7
2019-01-09 02:12, slack,-
2019-01-09 05:48, flood,3.2
2019-01-09 09:06, slack,-
2019-01-09 12:00, ebb,-1.4
2019-01-09 17:12, ebb,-0.3
2019-01-09 22:30, ebb,-2.5
2019-01-10 02:48, slack,-
2019-01-10 06:24, flood,3.0
2019-01-10 09:48, slack,-
2019-01-10 12:54, ebb,-1.5
2019-01-10 18:00, ebb,-0.3
2019-01-10 23:06, ebb,-2.2
2019-01-11 03:30, slack,-
2019-01-11 07:06, flood,2.8
2019-01-11 10:24, slack,-
2019-01-11 13:48, ebb,-1.7
2019-01-11 18:54, ebb,-0.3
2019-01-11 23:42, ebb,-1.8
2019-01-12 04:06, slack,-
2019-01-12 07:42, flood,2.4
2019-01-12 11:00, slack,-
2019-01-12 14:48, ebb,-1.9
2019-01-12 20:06, ebb,-0.2
2019-01-13 00:36, ebb,-1.3
2019-01-13 04:48, slack,-
