Date_Time (LST/LDT), Event, Speed (knots)
2020-01-01 02:06, slack,-
2020-01-01 07:13, flood,0.6
2020-01-01 10:28, slack,-
2020-01-01 12:40, ebb,-0.4
2020-01-01 17:18, slack,-
2020-01-01 20:37, flood,0.1
2020-01-01 22:28, slack,-
2020-01-02 00:28, ebb,-0.2
2020-01-02 03:00, slack,-
2020-01-02 07:55, flood,0.5
2020-01-02 10:52, slack,-
2020-01-02 13:10, ebb,-0.4
2020-01-02 17:42, slack,-
2020-01-02 21:37, flood,0.2
2020-01-03 00:04, slack,-
2020-01-03 01:40, ebb,-0.2
2020-01-03 04:06, slack,-
2020-01-03 08:43, flood,0.4
2020-01-03 11:22, slack,-
2020-01-03 13:46, ebb,-0.4
2020-01-03 18:12, slack,-
2020-01-03 22:37, flood,0.3
2020-01-04 01:28, slack,-
2020-01-04 02:52, ebb,-0.2
2020-01-04 05:24, slack,-
2020-01-04 09:43, flood,0.3
2020-01-04 11:58, slack,-
2020-01-04 14:34, ebb,-0.4
2020-01-04 18:42, slack,-
2020-01-04 23:25, flood,0.5
2020-01-05 02:34, slack,-
2020-01-05 04:04, ebb,-0.2
2020-01-05 06:42, slack,-
2020-01-05 10:37, flood,0.2
2020-01-05 12:34, slack,-
2020-01-05 15:16, ebb,-0.4
2020-01-05 19:12, slack,-
2020-01-06 00:13, flood,0.6
2020-01-06 03:34, slack,-
2020-01-06 05:04, ebb,-0.3
2020-01-06 07:54, slack,-
2020-01-06 11:31, flood,0.2
2020-01-06 13:10, slack,-
2020-01-06 16:04, ebb,-0.5
2020-01-06 19:48, slack,-
2020-01-07 00:55, flood,0.8
2020-01-07 04:22, slack,-
2020-01-07 05:58, ebb,-0.3
2020-01-07 09:00, slack,-
2020-01-07 12:19, flood,0.2
2020-01-07 13:52, slack,-
2020-01-07 16:40, ebb,-0.5
2020-01-07 20:24, slack,-
2020-01-08 01:37, flood,1.0
2020-01-08 05:10, slack,-
2020-01-08 06:46, ebb,-0.3
2020-01-08 09:54, slack,-
2020-01-08 13:07, flood,0.2
2020-01-08 14:28, slack,-
2020-01-08 17:22, ebb,-0.6
2020-01-08 21:00, slack,-
2020-01-09 02:19, flood,1.1
2020-01-09 05:52, slack,-
2020-01-09 07:28, ebb,-0.3
2020-01-09 10:42, slack,-
2020-01-09 13:49, flood,0.1
2020-01-09 15:04, slack,-
2020-01-09 18:04, ebb,-0.6
2020-01-09 21:36, slack,-
2020-01-10 02:55, flood,1.2
2020-01-10 06:34, slack,-
2020-01-10 08:10, ebb,-0.3
2020-01-10 11:30, slack,-
2020-01-10 14:37, flood,0.1
2020-01-10 15:46, slack,-
2020-01-10 18:40, ebb,-0.7
2020-01-10 22:18, slack,-
2020-01-11 03:37, flood,1.3
2020-01-11 07:16, slack,-
2020-01-11 08:46, ebb,-0.4
2020-01-11 12:18, slack,-
2020-01-11 15:19, flood,0.1
2020-01-11 16:34, slack,-
2020-01-11 19:28, ebb,-0.7
2020-01-11 22:54, slack,-
2020-01-12 04:19, flood,1.3
2020-01-12 07:52, slack,-
2020-01-12 09:16, ebb,-0.4
2020-01-12 13:00, slack,-
2020-01-12 16:07, flood,0.2
2020-01-12 17:28, slack,-
2020-01-12 20:16, ebb,-0.6
2020-01-12 23:42, slack,-
2020-01-13 05:01, flood,1.3
2020-01-13 08:28, slack,-
2020-01-13 09:58, ebb,-0.4
2020-01-13 13:42, slack,-
2020-01-13 17:01, flood,0.2
2020-01-13 18:28, slack,-
2020-01-13 21:10, ebb,-0.6
2020-01-14 00:30, slack,-
2020-01-14 05:43, flood,1.2
2020-01-14 09:04, slack,-
