Year,Month,Day,Amplitude,Station
2019,10,01,4,PCT2191
2019,10,02,3.6999999999999997,PCT2191
2019,10,03,3.9,PCT2191
2019,10,04,3.7,PCT2191
2019,10,05,3.5,PCT2191
2019,10,06,3.3,PCT2191
2019,10,07,3,PCT2191
2019,10,08,3,PCT2191
2019,10,09,3,PCT2191
2019,10,10,3,PCT2191
2019,10,11,2.9000000000000004,PCT2191
2019,10,12,2.9,PCT2191
2019,10,13,2.9,PCT2191
2019,10,14,3.2,PCT2191
2019,10,15,3.4,PCT2191
2019,10,16,3.7,PCT2191
2019,10,17,3.8000000000000003,PCT2191
2019,10,18,3.9,PCT2191
2019,10,19,3.3,PCT2191
2019,10,20,3.9,PCT2191
2019,10,21,3.8,PCT2191
2019,10,22,3.6999999999999997,PCT2191
2019,10,23,3.5999999999999996,PCT2191
2019,10,24,3.6999999999999997,PCT2191
2019,10,25,3.8000000000000003,PCT2191
2019,10,26,3.8,PCT2191
2019,10,27,3.9000000000000004,PCT2191
2019,10,28,4.3,PCT2191
2019,10,29,4.5,PCT2191
2019,10,30,4.6,PCT2191
2019,10,31,4.4,PCT2191
2019,11,01,3.9000000000000004,PCT2191
2019,11,02,3.9,PCT2191
2019,11,03,3.5,PCT2191
2019,11,04,3,PCT2191
2019,11,05,2.8,PCT2191
2019,11,06,2.7,PCT2191
2019,11,07,2.5,PCT2191
2019,11,08,2.5,PCT2191
2019,11,09,2.5,PCT2191
2019,11,10,3.1,PCT2191
2019,11,11,3.5,PCT2191
2019,11,12,3.9000000000000004,PCT2191
2019,11,13,4.1,PCT2191
2019,11,14,4.4,PCT2191
2019,11,15,4.5,PCT2191
2019,11,16,4.6,PCT2191
2019,11,17,4.5,PCT2191
2019,11,18,3.8000000000000003,PCT2191
2019,11,19,4,PCT2191
2019,11,20,3.5999999999999996,PCT2191
2019,11,21,3.5,PCT2191
2019,11,22,3.5,PCT2191
2019,11,23,3.8,PCT2191
2019,11,24,3.5,PCT2191
2019,11,25,4.4,PCT2191
2019,11,26,4.8,PCT2191
2019,11,27,4.9,PCT2191
2019,11,28,4.9,PCT2191
2019,11,29,4.6,PCT2191
2019,11,30,4.199999999999999,PCT2191
2019,12,01,3.7,PCT2191
2019,12,02,3.4000000000000004,PCT2191
2019,12,03,2.9000000000000004,PCT2191
2019,12,04,2.6,PCT2191
2019,12,05,2.4,PCT2191
2019,12,06,2.2,PCT2191
2019,12,07,2.7,PCT2191
2019,12,08,3.2,PCT2191
2019,12,09,2.3,PCT2191
2019,12,10,3.9000000000000004,PCT2191
2019,12,11,4.3,PCT2191
2019,12,12,4.699999999999999,PCT2191
2019,12,13,5,PCT2191
2019,12,14,5,PCT2191
2019,12,15,4.9,PCT2191
2019,12,16,4.6,PCT2191
2019,12,17,4.1,PCT2191
2019,12,18,3.9,PCT2191
2019,12,19,3.6,PCT2191
2019,12,20,3.4000000000000004,PCT2191
2019,12,21,3.5999999999999996,PCT2191
2019,12,22,4.2,PCT2191
2019,12,23,3.2,PCT2191
2019,12,24,4.699999999999999,PCT2191
2019,12,25,5.1,PCT2191
2019,12,26,5.1,PCT2191
2019,12,27,5,PCT2191
2019,12,28,4.6,PCT2191
2019,12,29,4.1,PCT2191
2019,12,30,3.5999999999999996,PCT2191
2019,12,31,3.2,PCT2191
