grid_id,left_bound,top_bound,right_bound,bottom_bound,latitude,longitude,lat_deg,long_deg,name,number,Direction,length(m),EW Joined layer_left,EW Joined layer_top,EW Joined layer_right,EW Joined layer_bottom,EW Joined layer_latitude,EW Joined layer_longitude,EW Joined layer_lat_deg,EW Joined layer_long_deg,EW Joined_name,EW Joined layer_number,EW Joined layer_Direction,EW Joined_length(m)
1,484958.5416,5397096.821,485958.5416,5396096.821,5396597,485459,48.722228,-123.197713,Boundary Pass,1,NS,5416.6571,484958.5416,5397096.821,485958.5416,5396096.821,5396597,485459,48.722228,-123.197713,Strait of Georgia,1,EW,42832.6242
2,484958.5416,5396096.821,485958.5416,5395096.821,5395597,485459,48.713232,-123.197678,Boundary Pass,1,NS,5416.6571,484958.5416,5396096.821,485958.5416,5395096.821,5395597,485459,48.713232,-123.197678,Haro Strait,2,EW,18156.5558
3,484958.5416,5395096.821,485958.5416,5394096.821,5394597,485459,48.704236,-123.197642,Boundary Pass,1,NS,5416.6571,484958.5416,5395096.821,485958.5416,5394096.821,5394597,485459,48.704236,-123.197642,Haro Strait,5,EW,18042.9961
4,484958.5416,5394096.821,485958.5416,5393096.821,5393597,485459,48.69524,-123.197607,Boundary Pass,1,NS,5416.6571,484958.5416,5394096.821,485958.5416,5393096.821,5393597,485459,48.69524,-123.197607,Haro Strait,8,EW,21328.1144
5,484958.5416,5393096.821,485958.5416,5392096.821,5392597,485459,48.686244,-123.197572,Boundary Pass,1,NS,5416.6571,484958.5416,5393096.821,485958.5416,5392096.821,5392597,485459,48.686244,-123.197572,Haro Strait,11,EW,12330.0485
6,484958.5416,5392096.821,485958.5416,5391096.821,5391597,485459,48.677248,-123.197537,Provost Harbor,29,NS,611.9589,484958.5416,5392096.821,485958.5416,5391096.821,5391597,485459,48.677248,-123.197537,Prevost Harbor,15,EW,1148.8544
7,484958.5416,5391096.821,485958.5416,5390096.821,5390597,485459,48.668252,-123.197502,,,,,484958.5416,5391096.821,485958.5416,5390096.821,5390597,485459,48.668252,-123.197502,,,,
8,484958.5416,5390096.821,485958.5416,5389096.821,5389597,485459,48.659256,-123.197466,Haro Strait,32,NS,6333.0236,484958.5416,5390096.821,485958.5416,5389096.821,5389597,485459,48.659256,-123.197466,Haro Strait,28,EW,10521.2056
9,484958.5416,5389096.821,485958.5416,5388096.821,5388597,485459,48.65026,-123.197431,Haro Strait,32,NS,6333.0236,484958.5416,5389096.821,485958.5416,5388096.821,5388597,485459,48.65026,-123.197431,New Channel,29,EW,4735.1095
10,484958.5416,5388096.821,485958.5416,5387096.821,5387597,485459,48.641264,-123.197396,Haro Strait,32,NS,6333.0236,484958.5416,5388096.821,485958.5416,5387096.821,5387597,485459,48.641264,-123.197396,Haro Strait,37,EW,13616.3647
11,484958.5416,5387096.821,485958.5416,5386096.821,5386597,485459,48.632268,-123.197361,Haro Strait,32,NS,6333.0236,484958.5416,5387096.821,485958.5416,5386096.821,5386597,485459,48.632268,-123.197361,San Juan Channel,38,EW,19047.5694
12,484958.5416,5386096.821,485958.5416,5385096.821,5385597,485459,48.623271,-123.197326,Haro Strait,32,NS,6333.0236,484958.5416,5386096.821,485958.5416,5385096.821,5385597,485459,48.623271,-123.197326,Haro Strait,43,EW,11869.3063
13,484958.5416,5385096.821,485958.5416,5384096.821,5384597,485459,48.614275,-123.197291,Haro Strait,32,NS,6333.0236,484958.5416,5385096.821,485958.5416,5384096.821,5384597,485459,48.614275,-123.197291,Haro Strait,51,EW,7651.4454
14,484958.5416,5384096.821,485958.5416,5383096.821,5383597,485459,48.605279,-123.197256,Haro Strait,32,NS,6333.0236,484958.5416,5384096.821,485958.5416,5383096.821,5383597,485459,48.605279,-123.197256,Haro Strait,55,EW,5662.5486
15,484958.5416,5383096.821,485958.5416,5382096.821,5382597,485459,48.596283,-123.197221,,,,,484958.5416,5383096.821,485958.5416,5382096.821,5382597,485459,48.596283,-123.197221,,,,
16,484958.5416,5382096.821,485958.5416,5381096.821,5381597,485459,48.587287,-123.197186,,,,,484958.5416,5382096.821,485958.5416,5381096.821,5381597,485459,48.587287,-123.197186,,,,
17,484958.5416,5381096.821,485958.5416,5380096.821,5380597,485459,48.578291,-123.197151,Haro Strait,61,NS,49636.0321,484958.5416,5381096.821,485958.5416,5380096.821,5380597,485459,48.578291,-123.197151,Haro Strait,65,EW,14400.9546
18,484958.5416,5380096.821,485958.5416,5379096.821,5379597,485459,48.569294,-123.197116,Haro Strait,61,NS,49636.0321,484958.5416,5380096.821,485958.5416,5379096.821,5379597,485459,48.569294,-123.197116,Haro Strait,66,EW,6739.1938
19,484958.5416,5379096.821,485958.5416,5378096.821,5378597,485459,48.560298,-123.197081,Haro Strait,61,NS,49636.0321,484958.5416,5379096.821,485958.5416,5378096.821,5378597,485459,48.560298,-123.197081,Haro Strait,67,EW,7628.9329
20,484958.5416,5378096.821,485958.5416,5377096.821,5377597,485459,48.551302,-123.197046,Haro Strait,61,NS,49636.0321,484958.5416,5378096.821,485958.5416,5377096.821,5377597,485459,48.551302,-123.197046,Haro Strait,68,EW,14558.3196
21,484958.5416,5377096.821,485958.5416,5376096.821,5376597,485459,48.542305,-123.197011,Haro Strait,61,NS,49636.0321,484958.5416,5377096.821,485958.5416,5376096.821,5376597,485459,48.542305,-123.197011,Haro Strait,69,EW,14973.6448
22,484958.5416,5376096.821,485958.5416,5375096.821,5375597,485459,48.533309,-123.196976,Haro Strait,61,NS,49636.0321,484958.5416,5376096.821,485958.5416,5375096.821,5375597,485459,48.533309,-123.196976,Haro Strait,70,EW,14940.5461
23,484958.5416,5375096.821,485958.5416,5374096.821,5374597,485459,48.524313,-123.196941,Haro Strait,61,NS,49636.0321,484958.5416,5375096.821,485958.5416,5374096.821,5374597,485459,48.524313,-123.196941,Haro Strait,71,EW,15355.3347
24,484958.5416,5374096.821,485958.5416,5373096.821,5373597,485459,48.515317,-123.196906,Haro Strait,61,NS,49636.0321,484958.5416,5374096.821,485958.5416,5373096.821,5373597,485459,48.515317,-123.196906,Haro Strait,72,EW,15839.2669
25,484958.5416,5373096.821,485958.5416,5372096.821,5372597,485459,48.50632,-123.196872,Haro Strait,61,NS,49636.0321,484958.5416,5373096.821,485958.5416,5372096.821,5372597,485459,48.50632,-123.196872,Haro Strait,73,EW,15242.6105
