Date,HH,LL,dth
2017-10-01,2.139,0.393,1.7459999999999998
2017-10-02,2.143,0.398,1.7449999999999997
2017-10-03,2.147,0.432,1.7149999999999999
2017-10-04,2.154,0.511,1.6429999999999998
2017-10-05,2.166,0.483,1.6829999999999998
2017-10-06,2.181,0.234,1.947
2017-10-07,2.192,0.022,2.1700000000000004
2017-10-08,2.191,1.269,0.9219999999999999
2017-10-09,2.219,-0.128,2.347
2017-10-10,2.241,-0.199,2.44
2017-10-11,2.267,-0.19,2.457
2017-10-12,2.301,-0.115,2.4160000000000004
2017-10-13,2.332,0.004,2.328
2017-10-14,2.349,0.146,2.2030000000000003
2017-10-15,2.344,0.296,2.048
2017-10-16,2.32,0.456,1.8639999999999999
2017-10-17,2.28,0.632,1.6479999999999997
2017-10-18,2.23,0.435,1.795
2017-10-19,2.179,0.259,1.92
2017-10-20,2.129,0.126,2.003
2017-10-21,2.189,0.042,2.1470000000000002
2017-10-22,2.242,1.566,0.6759999999999999
2017-10-23,2.27,0.008,2.262
2017-10-24,2.279,0.022,2.257
2017-10-25,2.275,0.081,2.194
2017-10-26,2.266,0.172,2.094
2017-10-27,2.257,0.283,1.9740000000000002
2017-10-28,2.25,0.399,1.851
2017-10-29,2.245,0.512,1.733
2017-10-30,2.243,0.624,1.6189999999999998
2017-10-31,2.246,0.739,1.5070000000000001
2017-11-01,2.257,0.54,1.717
2017-11-02,2.276,0.23,2.046
2017-11-03,2.3,-0.064,2.364
2017-11-04,2.319,-0.308,2.627
2017-11-05,2.389,-0.471,2.86
2017-11-06,2.488,1.744,0.744
2017-11-07,2.541,-0.535,3.076
2017-11-08,2.558,-0.492,3.05
2017-11-09,2.554,-0.35,2.904
2017-11-10,2.538,-0.132,2.67
2017-11-11,2.513,0.135,2.378
2017-11-12,2.48,0.422,2.058
2017-11-13,2.438,0.707,1.7310000000000003
2017-11-14,2.388,0.491,1.8969999999999998
2017-11-15,2.333,0.263,2.0700000000000003
2017-11-16,2.278,0.08,2.198
2017-11-17,2.23,-0.056,2.286
2017-11-18,2.318,-0.146,2.464
2017-11-19,2.413,-0.19,2.6029999999999998
2017-11-20,2.47,-0.19,2.66
2017-11-21,2.494,1.924,0.5700000000000003
2017-11-22,2.494,-0.148,2.6420000000000003
2017-11-23,2.478,-0.065,2.543
2017-11-24,2.456,0.054,2.402
2017-11-25,2.433,0.206,2.227
2017-11-26,2.413,0.39,2.0229999999999997
2017-11-27,2.398,0.6,1.798
2017-11-28,2.392,0.833,1.559
2017-11-29,2.401,0.512,1.8889999999999998
2017-11-30,2.423,0.165,2.258
2018-10-01,2.1,-0.028,2.128
2018-10-02,2.168,-0.051,2.2190000000000003
2018-10-03,2.239,-0.043,2.282
2018-10-04,2.288,-0.01,2.2979999999999996
2018-10-05,2.311,0.046,2.265
2018-10-06,2.313,0.14,2.173
2018-10-07,2.301,0.287,2.0140000000000002
2018-10-08,2.28,0.49,1.7899999999999998
2018-10-09,2.25,0.28,1.97
2018-10-10,2.209,0.103,2.106
2018-10-11,2.182,1.25,0.9319999999999999
2018-10-12,2.218,-0.001,2.219
2018-10-13,2.239,-0.03,2.2689999999999997
2018-10-14,2.252,0.01,2.242
2018-10-15,2.26,0.101,2.159
2018-10-16,2.262,0.22,2.042
2018-10-17,2.256,0.345,1.9109999999999998
2018-10-18,2.24,0.457,1.7830000000000001
2018-10-19,2.216,0.549,1.6670000000000003
2018-10-20,2.19,0.631,1.559
2018-10-21,2.169,0.719,1.4500000000000002
2018-10-22,2.158,0.64,1.5179999999999998
2018-10-23,2.157,0.4,1.7570000000000001
2018-10-24,2.163,0.163,1.9999999999999998
2018-10-25,2.17,-0.05,2.2199999999999998
2018-10-26,2.247,-0.214,2.461
2018-10-27,2.327,1.679,0.6479999999999999
2018-10-28,2.377,-0.311,2.6879999999999997
2018-10-29,2.406,-0.33,2.736
2018-10-30,2.423,-0.27,2.693
2018-10-31,2.433,-0.144,2.577
2018-11-01,2.436,0.03,2.406
2018-11-02,2.43,0.236,2.194
2018-11-03,2.416,0.46,1.956
2018-11-04,2.395,0.586,1.8090000000000002
2018-11-05,2.367,0.285,2.082
2018-11-06,2.333,0.036,2.297
2018-11-07,2.291,-0.146,2.437
2018-11-08,2.335,-0.252,2.5869999999999997
2018-11-09,2.434,-0.281,2.7150000000000003
2018-11-10,2.488,1.869,0.619
2018-11-11,2.504,-0.242,2.746
2018-11-12,2.491,-0.145,2.636
2018-11-13,2.459,-0.004,2.463
2018-11-14,2.42,0.168,2.252
2018-11-15,2.38,0.356,2.024
2018-11-16,2.343,0.55,1.793
2018-11-17,2.314,0.744,1.57
2018-11-18,2.295,0.796,1.4989999999999999
2018-11-19,2.289,0.533,1.7560000000000002
2018-11-20,2.295,0.252,2.043
2018-11-21,2.312,-0.027,2.339
2018-11-22,2.331,-0.278,2.609
2018-11-23,2.378,-0.472,2.85
2018-11-24,2.517,-0.589,3.106
2018-11-25,2.605,2.021,0.5840000000000001
2018-11-26,2.647,-0.613,3.26
2018-11-27,2.654,-0.536,3.19
2018-11-28,2.64,-0.364,3.004
2018-11-29,2.614,-0.108,2.722
2018-11-30,2.584,0.208,2.376
2019-10-01,2.242,0.13,2.112
2019-10-02,2.184,-0.033,2.217
2019-10-03,2.195,-0.102,2.2969999999999997
2019-10-04,2.234,-0.083,2.317
2019-10-05,2.279,0.001,2.278
2019-10-06,2.312,0.118,2.194
2019-10-07,2.318,0.238,2.08
2019-10-08,2.293,0.34,1.953
2019-10-09,2.245,0.426,1.8190000000000002
2019-10-10,2.188,0.516,1.6720000000000002
2019-10-11,2.136,0.625,1.5110000000000001
2019-10-12,2.099,0.702,1.3970000000000002
2019-10-13,2.079,0.507,1.572
2019-10-14,2.07,0.32,1.7499999999999998
2019-10-15,2.064,0.154,1.9100000000000001
2019-10-16,2.123,1.464,0.6590000000000003
2019-10-17,2.179,0.021,2.158
2019-10-18,2.22,-0.067,2.2870000000000004
2019-10-19,2.253,-0.107,2.3600000000000003
2019-10-20,2.286,-0.099,2.3850000000000002
2019-10-21,2.317,-0.054,2.371
2019-10-22,2.341,0.021,2.3200000000000003
2019-10-23,2.353,0.121,2.232
2019-10-24,2.355,0.251,2.104
2019-10-25,2.354,0.423,1.931
2019-10-26,2.355,0.388,1.967
2019-10-27,2.353,0.058,2.2950000000000004
2019-10-28,2.343,-0.199,2.542
2019-10-29,2.335,-0.358,2.693
2019-10-30,2.435,1.683,0.752
2019-10-31,2.492,-0.408,2.9
2019-11-01,2.512,-0.356,2.868
2019-11-02,2.505,-0.221,2.726
2019-11-03,2.479,-0.032,2.511
2019-11-04,2.438,0.181,2.257
2019-11-05,2.389,0.394,1.9949999999999997
2019-11-06,2.333,0.593,1.7400000000000002
2019-11-07,2.279,0.776,1.503
2019-11-08,2.233,0.724,1.5090000000000001
2019-11-09,2.203,0.501,1.702
2019-11-10,2.19,0.279,1.911
2019-11-11,2.189,0.066,2.123
2019-11-12,2.191,-0.121,2.312
2019-11-13,2.318,-0.269,2.587
2019-11-14,2.422,-0.366,2.7880000000000003
2019-11-15,2.489,2.009,0.48
2019-11-16,2.523,-0.4,2.923
2019-11-17,2.534,-0.367,2.901
2019-11-18,2.531,-0.264,2.795
2019-11-19,2.52,-0.094,2.614
2019-11-20,2.505,0.133,2.372
2019-11-21,2.491,0.407,2.084
2019-11-22,2.483,0.636,1.847
2019-11-23,2.48,0.247,2.233
2019-11-24,2.478,-0.098,2.576
2019-11-25,2.468,-0.364,2.832
2019-11-26,2.439,-0.53,2.9690000000000003
2019-11-27,2.578,-0.589,3.167
2019-11-28,2.672,-0.55,3.2220000000000004
2019-11-29,2.703,2.071,0.6319999999999997
2019-11-30,2.686,-0.43,3.116
2020-10-01,2.103,0.626,1.4770000000000003
2020-10-02,2.062,0.564,1.4979999999999998
2020-10-03,2.038,0.395,1.6429999999999998
2020-10-04,2.021,1.255,0.766
2020-10-05,2.032,0.258,1.774
2020-10-06,2.071,0.16,1.9110000000000003
2020-10-07,2.106,0.105,2.001
2020-10-08,2.144,0.086,2.0580000000000003
2020-10-09,2.189,0.091,2.098
2020-10-10,2.234,0.103,2.131
2020-10-11,2.265,0.112,2.153
2020-10-12,2.278,0.126,2.152
2020-10-13,2.28,0.166,2.114
2020-10-14,2.281,0.265,2.016
2020-10-15,2.29,0.441,1.849
2020-10-16,2.306,0.186,2.12
2020-10-17,2.324,-0.13,2.4539999999999997
2020-10-18,2.328,-0.354,2.682
2020-10-19,2.376,1.599,0.7769999999999999
2020-10-20,2.435,-0.46,2.895
2020-10-21,2.47,-0.445,2.915
2020-10-22,2.486,-0.327,2.813
2020-10-23,2.484,-0.142,2.626
2020-10-24,2.463,0.07,2.3930000000000002
2020-10-25,2.422,0.279,2.1430000000000002
2020-10-26,2.363,0.472,1.891
2020-10-27,2.293,0.655,1.6380000000000001
2020-10-28,2.223,0.679,1.5439999999999998
2020-10-29,2.167,0.468,1.6989999999999998
2020-10-30,2.132,0.271,1.8610000000000002
2020-10-31,2.115,0.097,2.0180000000000002
2020-11-01,2.181,-0.043,2.224
2020-11-02,2.281,-0.139,2.42
2020-11-03,2.353,1.898,0.4550000000000003
2020-11-04,2.396,-0.188,2.584
2020-11-05,2.414,-0.191,2.605
2020-11-06,2.42,-0.152,2.572
2020-11-07,2.419,-0.075,2.494
2020-11-08,2.415,0.035,2.38
2020-11-09,2.407,0.18,2.227
2020-11-10,2.401,0.362,2.0389999999999997
2020-11-11,2.402,0.586,1.8160000000000003
2020-11-12,2.416,0.356,2.06
2020-11-13,2.441,-0.05,2.4909999999999997
2020-11-14,2.467,-0.391,2.858
2020-11-15,2.475,-0.627,3.1020000000000003
2020-11-16,2.574,-0.735,3.3089999999999997
2020-11-17,2.678,2.061,0.617
2020-11-18,2.717,-0.713,3.43
2020-11-19,2.706,-0.577,3.283
2020-11-20,2.665,-0.355,3.02
2020-11-21,2.606,-0.08,2.686
2020-11-22,2.539,0.22,2.319
2020-11-23,2.468,0.526,1.942
2020-11-24,2.396,0.825,1.571
2020-11-25,2.331,0.581,1.75
2020-11-26,2.282,0.346,1.936
2020-11-27,2.255,0.133,2.122
2020-11-28,2.245,-0.051,2.2960000000000003
2020-11-29,2.301,-0.202,2.503
2020-11-30,2.437,-0.313,2.75
2021-10-01,2.226,0.207,2.019
2021-10-02,2.222,0.183,2.039
2021-10-03,2.211,0.183,2.028
2021-10-04,2.202,0.241,1.9609999999999999
2021-10-05,2.203,0.38,1.823
2021-10-06,2.217,0.386,1.831
2021-10-07,2.24,0.065,2.1750000000000003
2021-10-08,2.264,1.209,1.0549999999999997
2021-10-09,2.274,-0.193,2.467
2021-10-10,2.297,-0.355,2.652
2021-10-11,2.35,-0.407,2.757
2021-10-12,2.398,-0.358,2.7560000000000002
2021-10-13,2.432,-0.239,2.671
2021-10-14,2.44,-0.085,2.525
2021-10-15,2.42,0.079,2.3409999999999997
2021-10-16,2.377,0.246,2.131
2021-10-17,2.319,0.43,1.889
2021-10-18,2.255,0.643,1.6119999999999999
2021-10-19,2.194,0.436,1.758
2021-10-20,2.145,0.23,1.915
2021-10-21,2.111,0.066,2.0450000000000004
2021-10-22,2.183,-0.045,2.2279999999999998
2021-10-23,2.263,1.771,0.492
2021-10-24,2.315,-0.099,2.414
2021-10-25,2.339,-0.097,2.436
2021-10-26,2.343,-0.047,2.39
2021-10-27,2.338,0.035,2.303
2021-10-28,2.332,0.129,2.203
2021-10-29,2.324,0.225,2.0989999999999998
2021-10-30,2.312,0.323,1.9889999999999999
2021-10-31,2.301,0.438,1.8630000000000002
2021-11-01,2.297,0.588,1.709
2021-11-02,2.307,0.469,1.838
2021-11-03,2.334,0.076,2.258
2021-11-04,2.372,-0.281,2.653
2021-11-05,2.405,-0.554,2.9589999999999996
2021-11-06,2.501,-0.71,3.211
2021-11-07,2.605,2.047,0.5579999999999998
2021-11-08,2.649,-0.735,3.384
2021-11-09,2.652,-0.635,3.287
2021-11-10,2.628,-0.438,3.0660000000000003
2021-11-11,2.588,-0.176,2.7640000000000002
2021-11-12,2.54,0.117,2.423
2021-11-13,2.484,0.422,2.062
2021-11-14,2.422,0.724,1.6980000000000002
2021-11-15,2.357,0.473,1.8840000000000003
2021-11-16,2.297,0.223,2.0740000000000003
2021-11-17,2.253,0.017,2.236
2021-11-18,2.226,-0.142,2.368
2021-11-19,2.368,-0.25,2.618
2021-11-20,2.479,-0.306,2.785
2021-11-21,2.543,-0.312,2.855
2021-11-22,2.565,2.565,0
2021-11-23,2.557,-0.276,2.833
2021-11-24,2.535,-0.202,2.737
2021-11-25,2.508,-0.094,2.602
2021-11-26,2.481,0.049,2.432
2021-11-27,2.458,0.233,2.225
2021-11-28,2.44,0.466,1.974
2021-11-29,2.436,0.747,1.689
2021-11-30,2.451,0.386,2.065
