Date,floodSpeed,Amplitude,Station
2019-10-01,1.5,3.7,PUG1746
2019-10-02,1.5,3.6,PUG1746
2019-10-03,1.3,2.8,PUG1746
2019-10-08,1,2.5,PUG1746
2019-10-09,1,2.6,PUG1746
2019-10-10,1,2.6,PUG1746
2019-10-11,0.8,2.5,PUG1746
2019-10-12,0.8,2.6,PUG1746
2019-10-13,0.9,2.8,PUG1746
2019-10-14,1.1,3.2,PUG1746
2019-10-15,1.2,3.4000000000000004,PUG1746
2019-10-16,1.3,3.5,PUG1746
2019-10-17,1.3,3.4000000000000004,PUG1746
2019-10-18,1.3,3.2,PUG1746
2019-10-19,1.3,2.2,PUG1746
2019-10-24,1.1,2.8,PUG1746
2019-10-25,1.1,3,PUG1746
2019-10-26,1.1,3.2,PUG1746
2019-10-27,1.3,3.5999999999999996,PUG1746
2019-10-28,1.6,4,PUG1746
2019-10-29,1.6,4,PUG1746
2019-10-30,1.6,3.8000000000000003,PUG1746
2019-10-31,1.5,3.5,PUG1746
2019-11-01,1.3,3.1,PUG1746
2019-11-02,1.1,2.5,PUG1746
2019-11-04,0.8,2.2,PUG1746
2019-11-05,0.8,2.3,PUG1746
2019-11-06,0.8,2.3,PUG1746
2019-11-07,0.7,2.2,PUG1746
2019-11-08,0.6,2.2,PUG1746
2019-11-09,0.8,2.5,PUG1746
2019-11-10,0.9,2.8,PUG1746
2019-11-11,1.1,3.2,PUG1746
2019-11-12,1.3,3.5999999999999996,PUG1746
2019-11-13,1.4,3.6999999999999997,PUG1746
2019-11-14,1.5,3.8,PUG1746
2019-11-15,1.5,3.6,PUG1746
2019-11-16,1.5,3.4,PUG1746
2019-11-17,1.5,3.2,PUG1746
2019-11-18,1.4,2.7,PUG1746
2019-11-21,1.1,2.8,PUG1746
2019-11-22,1,2.9,PUG1746
2019-11-24,0.9,3.1999999999999997,PUG1746
2019-11-25,1.5,3.9,PUG1746
2019-11-26,1.6,4,PUG1746
2019-11-27,1.6,3.9,PUG1746
2019-11-28,1.5,3.7,PUG1746
2019-11-29,1.4,3.3,PUG1746
2019-11-30,1.3,3,PUG1746
2019-10-01,1.3,2.7,PUG1745
2019-10-02,1.2,2.4,PUG1745
2019-10-03,1.2,2.2,PUG1745
