id,left,top,right,bottom,name,length
423,495958.541599999996834,5382096.821000000461936,496958.541599999996834,5381096.820999999530613,"1",4.3
424,495958.541599999996834,5381096.820999999530613,496958.541599999996834,5380096.821000000461936,"1",4.3
460,496958.541599999996834,5382096.821000000461936,497958.541599999996834,5381096.820999999530613,"1",4.3
461,496958.541599999996834,5381096.820999999530613,497958.541599999996834,5380096.821000000461936,"1",4.3
462,496958.541599999996834,5380096.821000000461936,497958.541599999996834,5379096.821000000461936,"1",4.3
498,497958.541599999996834,5381096.820999999530613,498958.541599999996834,5380096.821000000461936,"1",4.3
499,497958.541599999996834,5380096.821000000461936,498958.541599999996834,5379096.821000000461936,"1",4.3
536,498958.541599999996834,5380096.821000000461936,499958.541599999996834,5379096.821000000461936,"1",4.3
537,498958.541599999996834,5379096.821000000461936,499958.541599999996834,5378096.821000000461936,"1",4.3
574,499958.541599999996834,5379096.821000000461936,500958.541599999996834,5378096.821000000461936,"1",4.3
575,499958.541599999996834,5378096.821000000461936,500958.541599999996834,5377096.820999999530613,"1",4.3
537,498958.541599999996834,5379096.821000000461936,499958.541599999996834,5378096.821000000461936,"2",2.9
574,499958.541599999996834,5379096.821000000461936,500958.541599999996834,5378096.821000000461936,"2",2.9
575,499958.541599999996834,5378096.821000000461936,500958.541599999996834,5377096.820999999530613,"2",2.9
612,500958.541599999996834,5378096.821000000461936,501958.541599999996834,5377096.820999999530613,"2",2.9
613,500958.541599999996834,5377096.820999999530613,501958.541599999996834,5376096.821000000461936,"2",2.9
649,501958.541599999996834,5378096.821000000461936,502958.541599999996834,5377096.820999999530613,"2",2.9
650,501958.541599999996834,5377096.820999999530613,502958.541599999996834,5376096.821000000461936,"2",2.9
650,501958.541599999996834,5377096.820999999530613,502958.541599999996834,5376096.821000000461936,"3",2.9
651,501958.541599999996834,5376096.821000000461936,502958.541599999996834,5375096.821000000461936,"3",2.9
652,501958.541599999996834,5375096.821000000461936,502958.541599999996834,5374096.821000000461936,"3",2.9
688,502958.541599999996834,5376096.821000000461936,503958.541599999996834,5375096.821000000461936,"3",2.9
689,502958.541599999996834,5375096.821000000461936,503958.541599999996834,5374096.821000000461936,"3",2.9
690,502958.541599999996834,5374096.821000000461936,503958.541599999996834,5373096.820999999530613,"3",2.9
690,502958.541599999996834,5374096.821000000461936,503958.541599999996834,5373096.820999999530613,"4",5.6
691,502958.541599999996834,5373096.820999999530613,503958.541599999996834,5372096.821000000461936,"4",5.6
692,502958.541599999996834,5372096.821000000461936,503958.541599999996834,5371096.821000000461936,"4",5.6
693,502958.541599999996834,5371096.821000000461936,503958.541599999996834,5370096.821000000461936,"4",5.6
694,502958.541599999996834,5370096.821000000461936,503958.541599999996834,5369096.820999999530613,"4",5.6
695,502958.541599999996834,5369096.820999999530613,503958.541599999996834,5368096.821000000461936,"4",5.6
696,502958.541599999996834,5368096.821000000461936,503958.541599999996834,5367096.821000000461936,"4",5.6
695,502958.541599999996834,5369096.820999999530613,503958.541599999996834,5368096.821000000461936,"5",3.8
696,502958.541599999996834,5368096.821000000461936,503958.541599999996834,5367096.821000000461936,"5",3.8
697,502958.541599999996834,5367096.821000000461936,503958.541599999996834,5366096.821000000461936,"5",3.8
698,502958.541599999996834,5366096.821000000461936,503958.541599999996834,5365096.820999999530613,"5",3.8
699,502958.541599999996834,5365096.820999999530613,503958.541599999996834,5364096.821000000461936,"5",3.8
734,503958.541599999996834,5367096.821000000461936,504958.541599999996834,5366096.821000000461936,"5",3.8
735,503958.541599999996834,5366096.821000000461936,504958.541599999996834,5365096.820999999530613,"5",3.8
736,503958.541599999996834,5365096.820999999530613,504958.541599999996834,5364096.821000000461936,"5",3.8
699,502958.541599999996834,5365096.820999999530613,503958.541599999996834,5364096.821000000461936,"6",1.5
700,502958.541599999996834,5364096.821000000461936,503958.541599999996834,5363096.821000000461936,"6",1.5
736,503958.541599999996834,5365096.820999999530613,504958.541599999996834,5364096.821000000461936,"6",1.5
737,503958.541599999996834,5364096.821000000461936,504958.541599999996834,5363096.821000000461936,"6",1.5
738,503958.541599999996834,5363096.821000000461936,504958.541599999996834,5362096.821000000461936,"6",1.5
1,484958.541599999996834,5397096.820999999530613,485958.541599999996834,5396096.821000000461936,,
2,484958.541599999996834,5396096.821000000461936,485958.541599999996834,5395096.821000000461936,,
3,484958.541599999996834,5395096.821000000461936,485958.541599999996834,5394096.821000000461936,,
